address,bikes,category,division,latitud,longitud,sub_category
Comte Borrell 119,24,bicing,mobilidad,41.380452,2.158403,bicing
Provença 241,0,bicing,mobilidad,41.39386,2.160237,bicing
Gran Via 375,10,bicing,mobilidad,41.375454,2.149786,bicing
Gran Via 375,18,bicing,mobilidad,41.375619,2.149889,bicing
Tarragona 103,27,bicing,mobilidad,41.376428,2.147734,bicing
Gran Via 361,8,bicing,mobilidad,41.374152,2.148154,bicing
Tarragona 141,18,bicing,mobilidad,41.378124,2.145389,bicing
Viriat 45,16,bicing,mobilidad,41.380499,2.141153,bicing
Viriat 53,15,bicing,mobilidad,41.380632,2.141548,bicing
Tarragona 159,10,bicing,mobilidad,41.379135,2.14409,bicing
Av. Diagonal 602,9,bicing,mobilidad,41.39243,2.14321,bicing
Av. Diagonal 612,18,bicing,mobilidad,41.39218,2.14213,bicing
Aragó 629,12,bicing,mobilidad,41.409856,2.188217,bicing
C/València 621,12,bicing,mobilidad,41.410821,2.187365,bicing
PL. Urquinaona 9,8,bicing,mobilidad,41.389197,2.173555,bicing
Pl. Joanic s/n,16,bicing,mobilidad,41.405587,2.162317,bicing
Travessera de Gracia 92,0,bicing,mobilidad,41.398373,2.153154,bicing
Indústria 10,2,bicing,mobilidad,41.402314,2.164961,bicing
C/ Londres 53,0,bicing,mobilidad,41.390981,2.14737,bicing
Avda. Roma 136,8,bicing,mobilidad,41.385377,2.154878,bicing
Calabria 137,14,bicing,mobilidad,41.381231,2.152755,bicing
Floridablanca 49,17,bicing,mobilidad,41.377644,2.15725,bicing
Sant Pau 51,24,bicing,mobilidad,41.377464,2.164725,bicing
Pl. Jean Genet 1,19,bicing,mobilidad,41.376801,2.173039,bicing
Marqués d'Argentera 3,17,bicing,mobilidad,41.38377,2.18424,bicing
Salvat Papasseit 72,24,bicing,mobilidad,41.383718,2.191414,bicing
Rosa Sensat 12,20,bicing,mobilidad,41.390666,2.197024,bicing
Sardenya 3,22,bicing,mobilidad,41.392212,2.187847,bicing
Sardenya 178,17,bicing,mobilidad,41.396684,2.182447,bicing
Lepant 278,2,bicing,mobilidad,41.404666,2.176515,bicing
Castillejos 258,0,bicing,mobilidad,41.406293,2.178689,bicing
Nàpols 344,2,bicing,mobilidad,41.405435,2.16624,bicing
Girona 142,1,bicing,mobilidad,41.398013,2.166978,bicing
Passeig Joan de Borbó s/n,12,bicing,mobilidad,41.370297,2.187808,bicing
Passeig Maritim 31,4,bicing,mobilidad,41.384426,2.195595,bicing
Passeig de Colom nan,20,bicing,mobilidad,41.380778,2.182581,bicing
Aragó 661,19,bicing,mobilidad,41.412322,2.19142,bicing
Rambla Guipúscoa 43,25,bicing,mobilidad,41.415581,2.19581,bicing
Manso 46,16,bicing,mobilidad,41.377068,2.161269,bicing
Rambla Guipúscoa 103,21,bicing,mobilidad,41.419905,2.201573,bicing
Rambla Guipúscoa 158,25,bicing,mobilidad,41.422808,2.206036,bicing
Pl. Valentí Amirall nan,17,bicing,mobilidad,41.408439,2.192173,bicing
Gran Vía 902,7,bicing,mobilidad,41.407307,2.192804,bicing
Bac de Roda 157,20,bicing,mobilidad,41.411433,2.198735,bicing
Gran Vía 981,15,bicing,mobilidad,41.411908,2.197936,bicing
Gran Vía 1062,17,bicing,mobilidad,41.414226,2.201734,bicing
"Gran Vía, 1041/ Selva de Mar 1041",4,bicing,mobilidad,41.414758,2.201538,bicing
Gran Vía 1118,13,bicing,mobilidad,41.416966,2.205397,bicing
Gran Vía 1131,8,bicing,mobilidad,41.418035,2.206023,bicing
Viladomat 122,27,bicing,mobilidad,41.38063,2.15614,bicing
Gran Via 940,26,bicing,mobilidad,41.40902,2.194896,bicing
Sancho de Ávila 104,0,bicing,mobilidad,41.400503,2.192511,bicing
Sancho de Ávila 170,14,bicing,mobilidad,41.40325,2.19606,bicing
Castella 28,25,bicing,mobilidad,41.40562,2.19764,bicing
Pere IV 301,22,bicing,mobilidad,41.40982,2.202904,bicing
Pere IV 449,15,bicing,mobilidad,41.415191,2.207111,bicing
Rambla Prim 79,23,bicing,mobilidad,41.416018,2.212658,bicing
Ronda Sant Pau 79,26,bicing,mobilidad,41.378486,2.163404,bicing
Pujades 57B,3,bicing,mobilidad,41.395905,2.192958,bicing
Espronceda 124,27,bicing,mobilidad,41.406549,2.203112,bicing
Pallars 462,21,bicing,mobilidad,41.40065,2.19719,bicing
Pujades 121,16,bicing,mobilidad,41.39925,2.197421,bicing
Pujades 173,9,bicing,mobilidad,41.401778,2.200769,bicing
Pujades 191,21,bicing,mobilidad,41.402454,2.201656,bicing
Pujades 311,26,bicing,mobilidad,41.406977,2.207602,bicing
Diagonal 46,8,bicing,mobilidad,41.409017,2.20881,bicing
C/ LLULL - RBLA. PRIM 465,25,bicing,mobilidad,41.412947,2.217819,bicing
Rambla de Prim 19,23,bicing,mobilidad,41.411741,2.218546,bicing
Avda. Diagonal 26,30,bicing,mobilidad,41.410882,2.216703,bicing
Avda. d'Eduard Maristany 1,31,bicing,mobilidad,41.411026,2.219377,bicing
Ramon Turro 91,18,bicing,mobilidad,41.395009,2.196308,bicing
Ramon Turro 292,9,bicing,mobilidad,41.403908,2.208436,bicing
Avda. Icaria 202,12,bicing,mobilidad,41.3942,2.20077,bicing
Independència 379,1,bicing,mobilidad,41.411901,2.177895,bicing
Carrer del Doctor Trueta 221,13,bicing,mobilidad,41.399196,2.204253,bicing
Bilbao 11,21,bicing,mobilidad,41.400533,2.206539,bicing
Bac de Roda 11,8,bicing,mobilidad,41.402561,2.210538,bicing
Selva de Mar 0,1,bicing,mobilidad,41.405358,2.213677,bicing
Avda. Litoral 40,11,bicing,mobilidad,41.389896,2.200055,bicing
Avda. Litoral 40,10,bicing,mobilidad,41.389732,2.199934,bicing
Passeig Marítim de la Nova Icària 83,5,bicing,mobilidad,41.391986,2.203699,bicing
Passeig Marítim de la Nova Icària 83,18,bicing,mobilidad,41.391831,2.203436,bicing
Avda. Litoral 84,0,bicing,mobilidad,41.398027,2.208982,bicing
Passeig de Garcia Fària 21,19,bicing,mobilidad,41.40061,2.210461,bicing
Llull / Provençals 309,0,bicing,mobilidad,41.40666,2.20956,bicing
Passeig de Garcia Fària 37,17,bicing,mobilidad,41.402541,2.212641,bicing
Rosselló 557,3,bicing,mobilidad,41.411089,2.181119,bicing
Passeig de Garcia Fària 85,18,bicing,mobilidad,41.405389,2.216212,bicing
Pg. Zona Franca 244,21,bicing,mobilidad,41.363511,2.13677,bicing
Gran Via 181,19,bicing,mobilidad,41.36778,2.13926,bicing
Gran Via 180,11,bicing,mobilidad,41.36766,2.13911,bicing
Gran Via 273,20,bicing,mobilidad,41.371455,2.143882,bicing
Gavà 1,16,bicing,mobilidad,41.372338,2.141875,bicing
Quetzal 22,14,bicing,mobilidad,41.367504,2.134088,bicing
Gavà 81,14,bicing,mobilidad,41.37046,2.138994,bicing
Consell de Cent 6,12,bicing,mobilidad,41.375571,2.143812,bicing
Carrer de Sant Pau 89,17,bicing,mobilidad,41.376858,2.169811,bicing
Pl. Sants (Ps. S. Antoni) 0,9,bicing,mobilidad,41.375802,2.135973,bicing
Bruc 130,13,bicing,mobilidad,41.396918,2.166163,bicing
Avinguda Litoral 72,18,bicing,mobilidad,41.39606,2.207803,bicing
Rocafort 167,1,bicing,mobilidad,41.382564,2.149094,bicing
Joan Güell 50,3,bicing,mobilidad,41.378629,2.133467,bicing
Figols 1,0,bicing,mobilidad,41.381311,2.128912,bicing
Vallespir 130,0,bicing,mobilidad,41.381888,2.135433,bicing
Berlín 38,1,bicing,mobilidad,41.383241,2.139363,bicing
Gelabert 1,1,bicing,mobilidad,41.38712,2.141039,bicing
Vallespir 194,3,bicing,mobilidad,41.38451,2.133617,bicing
Mejía Lequerica 2,0,bicing,mobilidad,41.38182,2.126933,bicing
Can bruixa 1,0,bicing,mobilidad,41.383756,2.131273,bicing
Numància 136,2,bicing,mobilidad,41.387787,2.134341,bicing
Carrer de les Corts 20,0,bicing,mobilidad,41.385331,2.128737,bicing
Avda. Diagonal 664,12,bicing,mobilidad,41.388742,2.128503,bicing
Avda. Diagonal 668,1,bicing,mobilidad,41.388011,2.125593,bicing
Europa 25,2,bicing,mobilidad,41.387465,2.130838,bicing
Avda. Diagonal 650,0,bicing,mobilidad,41.389845,2.13284,bicing
Avda. Diagonal 634,0,bicing,mobilidad,41.390828,2.136665,bicing
Avda. Diagonal 630,12,bicing,mobilidad,41.391451,2.139116,bicing
Diputació 200,2,bicing,mobilidad,41.385755,2.161004,bicing
Vilardell 18,11,bicing,mobilidad,41.37453,2.142356,bicing
Sancho de Ávila 60,27,bicing,mobilidad,41.398848,2.190291,bicing
Av. Sarrià 163,0,bicing,mobilidad,41.39239,2.130945,bicing
Sant Fe de Nou Mèxic 2,0,bicing,mobilidad,41.393783,2.135078,bicing
José de Agulló 19,0,bicing,mobilidad,41.395251,2.133541,bicing
Carrer de Ganduxer 29,0,bicing,mobilidad,41.39412,2.138146,bicing
Madrazo 131,0,bicing,mobilidad,41.396809,2.144534,bicing
Rector Ubach 24,0,bicing,mobilidad,41.398463,2.143924,bicing
Consell de Cent 566,0,bicing,mobilidad,41.404114,2.183203,bicing
Carre Laforja 74,0,bicing,mobilidad,41.397698,2.147358,bicing
Tuset 19,3,bicing,mobilidad,41.396229,2.151482,bicing
Gran de Gràcia 155,1,bicing,mobilidad,41.402535,2.152519,bicing
Carrer del Canó 1,0,bicing,mobilidad,41.40124,2.157483,bicing
Carrer de Bonavista 14,1,bicing,mobilidad,41.398311,2.159865,bicing
Girona 176,0,bicing,mobilidad,41.399945,2.164389,bicing
Mallorca 84,0,bicing,mobilidad,41.384956,2.150814,bicing
Montmany 1,3,bicing,mobilidad,41.403465,2.161096,bicing
Torrent de Les Flors 102,0,bicing,mobilidad,41.407837,2.158678,bicing
Pl. Del Nord 5,0,bicing,mobilidad,41.40694,2.155794,bicing
Carrer de la Santacreu 2,1,bicing,mobilidad,41.405107,2.156874,bicing
C. De Nil Fabra 16,1,bicing,mobilidad,41.405986,2.151633,bicing
Pi i Margall 38,3,bicing,mobilidad,41.407202,2.163476,bicing
Vilà i Vilà 45,27,bicing,mobilidad,41.373509,2.171002,bicing
Nou de la Rambla 164,18,bicing,mobilidad,41.371965,2.166871,bicing
Passeig de l'Exposició 30,2,bicing,mobilidad,41.371515,2.162166,bicing
Paral.lel 98,24,bicing,mobilidad,41.375065,2.165839,bicing
Avinguda Paral.lel 194,20,bicing,mobilidad,41.375127,2.152769,bicing
Rius i Taulet 4,2,bicing,mobilidad,41.372891,2.154471,bicing
Espronceda 298,11,bicing,mobilidad,41.415684,2.190986,bicing
Indústria 329,20,bicing,mobilidad,41.417323,2.184534,bicing
Josep Estivill 32,17,bicing,mobilidad,41.417763,2.187558,bicing
Teodor Llorente 2,0,bicing,mobilidad,41.419337,2.180482,bicing
Ramon Albó 1,3,bicing,mobilidad,41.424451,2.177284,bicing
Alenxadre Galí 1,5,bicing,mobilidad,41.423939,2.181298,bicing
Felip II 214,5,bicing,mobilidad,41.426896,2.178511,bicing
Garcilaso 77,0,bicing,mobilidad,41.422844,2.186637,bicing
Felipe II 112,2,bicing,mobilidad,41.421992,2.184806,bicing
Palència 31,8,bicing,mobilidad,41.418208,2.190374,bicing
Açores 1,15,bicing,mobilidad,41.425216,2.188997,bicing
Portugal 3,8,bicing,mobilidad,41.425905,2.19115,bicing
Cardenal Tedeschini 13,6,bicing,mobilidad,41.425405,2.185226,bicing
